End.Date,End.Time,Malaise.Pit,Order,Family,Subfamily,Genus,Species,Length,Width,Reference.Col.Flag,Suspect.ID.Flag,Notes
20-Jul,22:00,M,Diptera,Phoridae,,,,1,0.75,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,2.25,0.75,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,2,0.75,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,2.25,0.75,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.75,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.5,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.5,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Cecidomyiidae,,,,2.25,0.5,,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,R,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1,0.5,R,y,
20-Jul,22:00,M,Diptera,Cecidomyiidae,,,,2.25,0.5,R,,
20-Jul,22:00,M,Diptera,Cecidomyiidae,,,,1.5,0.25,R,,
20-Jul,22:00,M,Diptera,Syrphidae,,,,6,2.5,R,,
20-Jul,22:00,M,Diptera,Simuliidae,,,,4,1.75,R,,
20-Jul,22:00,M,Diptera,Simuliidae,,,,2.25,1,R,,
20-Jul,22:00,M,Diptera,Fanniidae,,,,2,1,,,
20-Jul,22:00,M,Diptera,Bombyliidae,Mythicomyiinae,,,1.25,0.5,R,,
20-Jul,22:00,M,Diptera,Empididae,,,,1.25,0.5,R,,
20-Jul,22:00,M,Diptera,Chloropidae,,,,1.75,0.75,R,,
20-Jul,22:00,M,Diptera,Milichiidae,,,,1.25,0.5,R,,
20-Jul,22:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,2,0.75,R,Y,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1.25,0.25,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1.25,0.25,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,0.5,0.25,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,R,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,R,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.5,R,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.5,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.5,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.5,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1.25,0.25,,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,22:00,M,Lepidoptera,Elachistidae,,,,5,1.25,R,Y,
20-Jul,22:00,M,Collembola,Entomobryidae,,,,2,0.25,R,,
20-Jul,22:00,M,Hemiptera,Miridae,,,,3.25,1.25,R,,
20-Jul,22:00,M,Trichoptera,Hydroptilidae,,,,2.25,0.5,R,Y,
20-Jul,22:00,M,Coleoptera,Chrysomelidae,Alticinae,,,2,1,R,,
20-Jul,22:00,M,Coleoptera,Elateridae,,,,7,2.25,R,,
20-Jul,22:00,M,Hymenoptera,Aphelinidae,,,,1.25,0.5,R,,
20-Jul,18:00,M,Diptera,Tabanidae,,,,24,9,,,
20-Jul,18:00,M,Diptera,Tabanidae,,,,18,9,,,
20-Jul,18:00,M,Diptera,Tabanidae,,,,20,8,,,
20-Jul,18:00,M,Diptera,Tabanidae,,,,23,9,,,
20-Jul,18:00,M,Diptera,Syrphidae,,,,10,4.5,,,
20-Jul,18:00,M,Diptera,Phoridae,,,,1,0.5,,,
20-Jul,18:00,M,Diptera,Phoridae,,,,1.25,0.5,,,
20-Jul,18:00,M,Diptera,Phoridae,,,,1.25,0.5,,,
20-Jul,18:00,M,Diptera,Ceratopogonidae,,,,2,0.5,,,
20-Jul,18:00,M,Diptera,Ceratopogonidae,,,,2.25,0.5,,,
20-Jul,18:00,M,Diptera,Ceratopogonidae,,,,2,0.5,,,
20-Jul,18:00,M,Diptera,Ceratopogonidae,,,,2,0.75,,,
20-Jul,18:00,M,Diptera,Ceratopogonidae,,,,2,0.5,,,
20-Jul,18:00,M,Diptera,Cecidomyiidae,,,,1.5,0.25,,,
20-Jul,18:00,M,Diptera,Cecidomyiidae,,,,1.5,0.5,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.5,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.5,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,,,
20-Jul,14:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,14:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,14:00,M,Diptera,Ceratopogonidae,,,,1,0.5,,,
20-Jul,14:00,M,Diptera,Ceratopogonidae,,,,1.25,0.5,,,
20-Jul,14:00,M,Diptera,Phoridae,,,,1.25,0.5,,,
20-Jul,14:00,M,Diptera,Phoridae,,,,1.25,0.5,,,
20-Jul,14:00,M,Diptera,Tabanidae,,,,20,6,,,
20-Jul,14:00,M,Diptera,Tabanidae,,,,18,7,,,
20-Jul,14:00,M,Diptera,Tabanidae,,,,22,6,,,
20-Jul,14:00,M,Diptera,Tabanidae,,,,20,7,,,
20-Jul,14:00,M,Diptera,Tabanidae,,,,18,6,,,
20-Jul,14:00,M,Diptera,Tabanidae,,,,19,6,,,
20-Jul,14:00,M,Diptera,Tabanidae,,,,20,7,,,
20-Jul,18:00,M,Diptera,Sepsidae,,,,2,0.5,R,Y,
20-Jul,18:00,M,Diptera,Anthomyiidae,,,,5,1.5,R,,
20-Jul,18:00,M,Diptera,Anthomyiidae,,,,5,1.5,R,,
20-Jul,18:00,M,Diptera,Anthomyiidae,,,,5,1.5,R,,
20-Jul,18:00,M,Diptera,Sphaeroceridae,,,,3.5,1,R,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.25,R,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.5,R,,
20-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.5,R,,
20-Jul,18:00,M,Coleoptera,Melyridae,,,,3,1,R,,
20-Jul,18:00,M,Hemiptera,Aleyrodidae,,,,0.5,0.25,R,,
20-Jul,18:00,M,Lepidoptera,Elachistidae,,,,4,1.75,R,Y,
20-Jul,18:00,M,Hymenoptera,Encyrtidae,,,,1.5,0.5,R,,
20-Jul,14:00,M,Hymenoptera,Apidae,,,,10.5,4,R,,
20-Jul,14:00,M,Hymenoptera,Andrenidae,,,,8.5,2.5,R,,
20-Jul,14:00,M,Diptera,Bombyliidae,,,,8,3,R,,
20-Jul,14:00,M,Diptera,Chloropidae,,,,2,0.5,R,,
20-Jul,18:00,M,Diptera,Chloropidae,,,,1.75,0.5,R,,
20-Jul,14:00,M,Hymenoptera,Aphelinidae,,,white.spot,0.75,0.25,,,
20-Jul,14:00,M,Hymenoptera,Aphelinidae,,,white.spot,0.75,0.25,,,
20-Jul,14:00,M,Hymenoptera,Aphelinidae,,,white.spot,0.75,0.25,,,
20-Jul,14:00,M,Hymenoptera,Aphelinidae,,,white.spot,1,0.25,,,
20-Jul,14:00,M,Hymenoptera,Aphelinidae,,,white.spot,0.75,0.25,,,
20-Jul,14:00,M,Hymenoptera,Aphelinidae,,,white.spot,0.75,0.25,,,
20-Jul,14:00,M,Hymenoptera,Aphelinidae,,,white.spot,0.75,0.25,,,
20-Jul,14:00,M,Hymenoptera,Aphelinidae,,,white.spot,0.75,0.25,,,
20-Jul,14:00,M,Hymenoptera,Aphelinidae,,,shimmery.blue,1.5,0.5,,,
20-Jul,14:00,M,Thysanoptera,Thripidae,,,,1,0.25,,,
23-Jul,18:00,M,Diptera,Calliphoridae,,,,5.25,2,R,,
23-Jul,18:00,P,Diptera,Asilidae,,,,17,4,R,,
23-Jul,18:00,M,Diptera,Tabanidae,,,,11,4.5,R,,
23-Jul,18:00,P,Diptera,Asilidae,,,,12,4,,,
23-Jul,18:00,P,Diptera,Anthomyiidae,,,,4,2.5,,,
23-Jul,18:00,P,Hymenoptera,Formicidae,,,,5,1.5,,,
23-Jul,18:00,P,Hymenoptera,Formicidae,,,,5,1,,,
23-Jul,18:00,P,Hymenoptera,Formicidae,,,,5.5,1.5,,,
23-Jul,18:00,P,Hymenoptera,Formicidae,,,,5,1.5,,,
23-Jul,18:00,P,Hymenoptera,Formicidae,,,,5,1.5,,,
23-Jul,18:00,P,Hymenoptera,Formicidae,,,,4,1,,,
23-Jul,18:00,P,Hymenoptera,Formicidae,,,,5,1.5,,,
23-Jul,18:00,P,Hymenoptera,Formicidae,,,,6,2,,,
23-Jul,18:00,P,Microcoryphia,Meinertellidae,,,,6,2.5,,,
23-Jul,18:00,P,Microcoryphia,Meinertellidae,,,,5,1.5,,,
23-Jul,18:00,P,Microcoryphia,Meinertellidae,,,,5,1.5,,,
23-Jul,18:00,P,Microcoryphia,Meinertellidae,,,,6,2,,,
23-Jul,18:00,P,Microcoryphia,Meinertellidae,,,,5,2,,,
23-Jul,18:00,P,Microcoryphia,Meinertellidae,,,,6,1.5,,,
23-Jul,18:00,P,Microcoryphia,Meinertellidae,,,,5,2,,,
23-Jul,18:00,M,Hymenoptera,Encyrtidae,,,,1,0.5,,,
23-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.75,0.5,,,
23-Jul,18:00,M,Hymenoptera,Encyrtidae,,,,1,0.5,,,
23-Jul,18:00,M,Diptera,Phoridae,,,,1.25,0.5,,,
23-Jul,18:00,M,Diptera,Phoridae,,,,1.25,0.5,,,
23-Jul,18:00,M,Diptera,Empididae,,,,1.25,0.5,,,
23-Jul,18:00,M,Diptera,Tabanidae,,,,18,5,,,
23-Jul,18:00,M,Diptera,Tabanidae,,,,20,7,,,
23-Jul,18:00,M,Diptera,Tabanidae,,,,14,3,,,
23-Jul,18:00,M,Hymenoptera,Scelionidae,,,,0.75,0.25,,,
23-Jul,18:00,P,Hymenoptera,Apidae,,,,4.5,1.5,R,,
23-Jul,18:00,P,Hymenoptera,Aphelinidae,,,,1,0.25,,,
23-Jul,18:00,P,Hymenoptera,Apidae,,,,5,1.25,,,
23-Jul,18:00,P,Hemiptera,,,,,1,0.5,,nymph,
23-Jul,18:00,P,Hemiptera,,,,,1.5,0.5,,nymph,
23-Jul,18:00,P,Collembola,Isotomidae,,,,0.5,0.25,R,Y,
23-Jul,18:00,P,Thysanoptera,Thripidae,,,,1,0.5,R,,
23-Jul,18:00,P,Aranea,Salticidae,,,,2,1,,,
23-Jul,18:00,P,Aranea,Salticidae,,,,2,1,,,
22-Jul,18:00,M,Diptera,Asilidae,,,,7.5,2.5,,,
22-Jul,18:00,M,Diptera,Chloropidae,,,,1.75,1,,,
22-Jul,18:00,M,Diptera,Phoridae,,,,1,0.5,,,
22-Jul,18:00,M,Diptera,Phoridae,,,,1.2,0.75,,,
22-Jul,18:00,M,Diptera,Phoridae,,,,1,0.5,,,
22-Jul,18:00,M,Diptera,Phoridae,,,,1.2,0.5,,,
22-Jul,18:00,M,Diptera,Phoridae,,,,1,0.4,,,
22-Jul,18:00,M,Diptera,Phoridae,,,,1,0.5,,,
22-Jul,18:00,M,Diptera,Empididae,,,,1.2,0.5,,,
22-Jul,18:00,M,Diptera,Empididae,,,,1.5,0.5,,,
22-Jul,18:00,M,Diptera,Empididae,,,,1.6,0.5,,,
22-Jul,18:00,M,Diptera,Empididae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Apidae,,,,5,2,,,
22-Jul,18:00,M,Hymenoptera,Formicidae,,,,3,0.75,,,
22-Jul,18:00,M,Hymenoptera,Formicidae,,,,3.5,1,,,
22-Jul,18:00,M,Hemiptera,Psyllidae,,,,1.5,0.75,,,
22-Jul,18:00,M,Hemiptera,Psyllidae,,,,1.5,0.75,,,
22-Jul,18:00,M,Hemiptera,Miridae,,,,6,2,,,
22-Jul,18:00,M,Hemiptera,,,,,2,1,,nymph,
22-Jul,18:00,M,Diptera,Ceratopogonidae,,,,1.8,0.5,,,
22-Jul,18:00,M,Diptera,Ceratopogonidae,,,,1.6,0.4,,,
22-Jul,18:00,M,Diptera,Ceratopogonidae,,,,1.8,0.5,,,
22-Jul,18:00,M,Diptera,Ceratopogonidae,,,,1.5,0.75,,,
22-Jul,18:00,M,Diptera,Ceratopogonidae,,,,1.6,0.75,,,
22-Jul,18:00,M,Diptera,Ceratopogonidae,,,,1.6,0.75,,,
22-Jul,18:00,M,Diptera,Cecidomyiidae,,,,1,0.25,R,,
22-Jul,18:00,M,Thysanoptera,Thripidae,,,,3,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.4,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1.5,0.5,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.3,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,0.9,0.2,,,
22-Jul,18:00,M,Hymenoptera,Aphelinidae,,,,1,0.3,,,
22-Jul,18:00,M,Diptera,Empididae,,,,1.25,0.4,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,19,5,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,24,9,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,23,8,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,20,7,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,18.5,6,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,17,5,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,16.5,5,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,17.5,5.5,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,13,4,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,13,4,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,13,4,,,
22-Jul,18:00,M,Diptera,Tabanidae,,,,13,4,,,
23-Jul,6:00,M,Diptera,Tipulidae,,,,18,2,R,,
23-Jul,6:00,M,Neuroptera,Hemerobiidae,,,,5.5,1.25,R,,
23-Jul,6:00,M,Neuroptera,Hemerobiidae,,,,5,1,,,
23-Jul,6:00,M,Neuroptera,Hemerobiidae,,,,4.5,1,,,
23-Jul,6:00,M,Hymenoptera,Formicidae,,,,2.5,0.5,,,
23-Jul,6:00,M,Diptera,Muscidae,,,,4,1.8,,,
23-Jul,6:00,M,Diptera,Muscidae,,,,4,1.6,,,
23-Jul,6:00,M,Diptera,Cecidomyiidae,,,,1,0.25,,,
23-Jul,6:00,M,Diptera,Cecidomyiidae,,,,1,0.25,,,
23-Jul,6:00,M,Diptera,Cecidomyiidae,,,,1,0.25,,,
23-Jul,6:00,M,Coleoptera,Carabidae,,,,6.5,2.5,,,
23-Jul,6:00,M,Diptera,Cecidomyiidae,,,,1.25,0.25,,,
20-Jul,14:00,P,Hemiptera,Lyctocoridae,,,,2,0.75,,,
20-Jul,14:00,P,Hymenoptera,Sphecidae,,,,14,2.75,,,
20-Jul,14:00,P,Hymenoptera,Apidae,,,,11,4,,,
20-Jul,14:00,P,Hymenoptera,Apidae,,,,4,1.5,,,
20-Jul,14:00,P,Hymenoptera,Apidae,,,,4.5,1.5,,,
20-Jul,14:00,P,Orthoptera,Acrididae,,,,24,5,,,
20-Jul,14:00,P,Hemiptera,Cicadellidae,,,,2,0.5,,,
20-Jul,14:00,P,Hemiptera,Cicadellidae,,,,2,0.5,,,
20-Jul,14:00,P,Hemiptera,Cicadellidae,,,,2,0.5,,,
20-Jul,14:00,P,Hemiptera,Cicadellidae,,,,2,0.5,,,
20-Jul,14:00,P,Hemiptera,Cicadellidae,,,,2,0.5,,,
20-Jul,14:00,P,Microcoryphia,Meinertellidae,,,,6,2,,,
20-Jul,14:00,P,Microcoryphia,Meinertellidae,,,,6.5,2,,,
20-Jul,14:00,P,Diptera,Bombyliidae,,,,7,2,,,
20-Jul,14:00,P,Diptera,Muscidae,,,,4,2,R,,
20-Jul,14:00,P,Diptera,Dolichopodidae,,,,1.4,1,,,
20-Jul,14:00,P,Diptera,Dolichopodidae,,,,3.5,1.25,,,
23-Jul,14:00,M,Diptera,Tabanidae,,,,22,7,,,
23-Jul,14:00,M,Diptera,Tabanidae,,,,17,5,,,
23-Jul,14:00,M,Diptera,Tabanidae,,,,17,5,,,
23-Jul,14:00,M,Diptera,Tabanidae,,,,20,7,,,
23-Jul,14:00,M,Diptera,Asilidae,,,,10,3,,,
23-Jul,14:00,M,Diptera,Muscidae,,,,4.5,1.8,,,
23-Jul,14:00,M,Diptera,Muscidae,,,,3.9,1.4,,,
23-Jul,14:00,M,Hymenoptera,Formicidae,,,,2.7,0.4,,,
23-Jul,14:00,M,Hymenoptera,Formicidae,,,,3.9,0.9,,,
23-Jul,14:00,M,Hymenoptera,Formicidae,,,,3.3,0.7,,,
23-Jul,14:00,M,Hymenoptera,Formicidae,,,,3,0.55,,,
23-Jul,14:00,M,Hymenoptera,Formicidae,,,,4.7,1.4,,,
23-Jul,14:00,M,Hymenoptera,Scelionidae,,,,1.2,0.4,,,
23-Jul,14:00,M,Hymenoptera,Scelionidae,,,,1.2,0.4,,,
23-Jul,14:00,M,Hemiptera,Cicadellidae,,,,2.4,0.9,,,
23-Jul,14:00,M,Diptera,Cecidomyiidae,,,,1.65,0.4,,,
23-Jul,14:00,M,Diptera,Sciaridae,,,,2.5,0.6,,,
23-Jul,14:00,M,Diptera,Phoridae,,,,1.1,0.4,,,
23-Jul,14:00,M,Diptera,Phoridae,,,,1.2,0.4,,,
23-Jul,14:00,M,Hemiptera,Scutelleridae,,,,8,5,R,,
23-Jul,14:00,M,Coleoptera,Cocinellidae,,,,5.5,4.5,R,,
23-Jul,14:00,M,Coleoptera,Rhipiphoridae,,,,2.2,0.8,R,,
23-Jul,14:00,M,Hymenoptera,Chalcididae,,,,2.5,1,R,,
23-Jul,14:00,M,Diptera,Sciaridae,,,,2.5,0.6,,,
23-Jul,14:00,M,Diptera,Empididae,,,,1.5,0.5,,,
23-Jul,14:00,M,Diptera,Empididae,,,,1.4,0.4,,,
23-Jul,14:00,M,Diptera,Phoridae,,,,1.2,0.4,,,
23-Jul,14:00,M,Diptera,Phoridae,,,,1.9,0.5,,,
23-Jul,14:00,M,Diptera,,,,,2.1,0.8,,degraded,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,14,5,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,10,3,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,12,4,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,14,5,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,9,3,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,15,6,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,15,5,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,10,4,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,23,6,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,7,3,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,15,4,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,9,3,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,14,4,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,7,3,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,3.5,1.2,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,2,1.1,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,2.8,1.2,,,
23-Jul,2:00,P,Orthoptera,Raphidophoridae,,,,3.5,1.2,,,
23-Jul,2:00,P,Microcoryphia,Meinertellidae,,,,7,1.4,,,
23-Jul,2:00,P,Microcoryphia,Meinertellidae,,,,6.2,1.6,,,
23-Jul,2:00,P,Diptera,Anthomyiidae,,,,3.5,1.5,,,
23-Jul,2:00,P,Hemiptera,,,,,1.8,0.5,,nymph,
23-Jul,2:00,P,Thysanoptera,Thripidae,,,,1.1,0.4,,,
23-Jul,2:00,P,Hymenoptera,Formicidae,,,,3,0.75,,,
23-Jul,2:00,P,Diptera,Ceratopogonidae,,,,1.2,0.3,,,
23-Jul,2:00,P,Collembola,Entomobryidae,,,,2.2,0.6,,,
23-Jul,2:00,P,Collembola,Entomobryidae,,,,1.2,0.3,,,
23-Jul,2:00,P,Collembola,Entomobryidae,,,,1.9,0.4,,,
